datetime,root,expiration,strike,right,bid_size,closebid,ask_size,closeask,date,midpoint,weighted_midpoint,spot,valuation_date,moneyness,log_moneyness,t,dte,f,div_schedule,fwd_moneyness,vol
2025-04-08,AAPL,2025-09-19,235.0,P,2,60.9,3,63.8,20250408,62.349999999999994,62.63999999999999,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7464164732161588,0.23954390318670363
2025-04-08,AAPL,2025-05-23,230.0,C,1,0.32,1,2.0,20250408,1.16,1.16,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.12320328542094455,45.0,173.30382822246338,<Schedule: 0 dividends>,0.7534949053150581,0.5452785111691866
2025-04-08,AAPL,2025-09-19,235.0,C,3,2.39,3,2.64,20250408,2.515,2.515,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7464164732161588,0.3555037447372202
2025-04-08,AAPL,2025-06-20,230.0,P,1,55.3,2,58.2,20250408,56.75,57.23333333333333,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.755895878143776,0.25420661803203215
2025-04-08,AAPL,2025-10-17,235.0,C,3,2.83,15,3.05,20250408,2.94,3.013333333333333,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7477116984340049,0.34249821757000165
2025-04-08,AAPL,2025-06-20,230.0,C,9,1.01,6,1.05,20250408,1.03,1.026,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.1998631074606434,73.0,173.85605197306847,<Schedule: 0 dividends>,0.755895878143776,0.41285304904634224
2025-04-08,AAPL,2025-10-17,235.0,P,2,61.05,3,64.4,20250408,62.725,63.06,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,0.5256673511293635,192.0,175.71224913199114,<Schedule: 2 dividends>,0.7477116984340049,0.3010738878314423
2025-04-08,AAPL,2025-07-18,230.0,P,6,57.0,8,58.3,20250408,57.65,57.74285714285713,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7572033274115751,0.3099514751477715
2025-04-08,AAPL,2025-07-18,230.0,C,10,1.51,7,1.58,20250408,1.545,1.538823529411765,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.27652292950034224,101.0,174.1567653046623,<Schedule: 1 dividends>,0.7572033274115751,0.38419657713459904
2025-04-08,AAPL,2025-08-15,230.0,P,1,56.0,3,58.75,20250408,57.375,58.0625,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7596161169369001,0.24878417941572253
2025-04-08,AAPL,2025-08-15,230.0,C,9,2.22,5,2.29,20250408,2.255,2.245,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.3531827515400411,129.0,174.71170689548703,<Schedule: 1 dividends>,0.7596161169369001,0.3726707496327091
2025-04-08,AAPL,2025-05-16,240.0,P,2,65.0,2,67.9,20250408,66.45,66.45,172.4199981689453,2025-04-08,1.391949904586106,0.3307055731799472,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7215251940501622,0.43693304232986985
2025-04-08,AAPL,2025-05-16,240.0,C,12,0.31,15,0.34,20250408,0.325,0.32666666666666666,172.4199981689453,2025-04-08,1.391949904586106,0.3307055731799472,0.10403832991101986,38.0,173.16604657203894,<Schedule: 0 dividends>,0.7215251940501622,0.518233893742491
2025-04-08,AAPL,2026-06-18,235.0,C,3,8.25,3,8.8,20250408,8.525,8.525,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.7665212189818124,0.3149069898636113
2025-04-08,AAPL,2025-12-19,230.0,P,7,57.5,3,60.7,20250408,59.1,58.46,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.7694544752379149,0.3289499920935397
2025-04-08,AAPL,2026-06-18,235.0,P,3,63.2,3,67.15,20250408,65.17500000000001,65.17500000000001,172.4199981689453,2025-04-08,1.3629509482405622,0.309652163982115,1.1937029431895962,436.0,180.13248646072591,<Schedule: 4 dividends>,0.7665212189818124,0.32165177345274054
2025-04-08,AAPL,2025-12-19,230.0,C,7,4.8,7,5.2,20250408,5.0,5.0,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.6981519507186859,255.0,176.97452930472042,<Schedule: 2 dividends>,0.7694544752379149,0.33113064130985326
2025-04-08,AAPL,2026-01-16,230.0,P,2,57.4,3,60.95,20250408,59.175,59.53,172.4199981689453,2025-04-08,1.3339519918950182,0.28814595876115134,0.7748117727583846,283.0,177.28261263781664,<Schedule: 3 dividends>,0.7707939679905071,0.32018178029300437
2025-04-08,AAPL,2025-09-19,240.0,P,6,66.85,5,68.25,20250408,67.55,67.48636363636363,172.4199981689453,2025-04-08,1.391949904586106,0.3307055731799472,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7308661300241555,0.2562503476296159
2025-04-08,AAPL,2025-09-19,240.0,C,7,1.95,6,2.03,20250408,1.9899999999999998,1.9869230769230768,172.4199981689453,2025-04-08,1.391949904586106,0.3307055731799472,0.4490075290896646,164.0,175.4078712057973,<Schedule: 1 dividends>,0.7308661300241555,0.35033165299923374
